id	VL_TOTAL_INVESTIMENTO_T0	RESTRICAO_INTERNA	RISCO	DS_ESTADO_CIVIL	ESCOLARIDADE	TEM_PRE_APROV_CDC	TIPO_CLIENTE	IDADE	QTDE_PRODUTOS_12M	SG_UF	CD_SEXO	VL_TOTL_REND	PERFIL	ALVO
1	214994.5	0	BAIXO	VIUVO	SUPERIOR	1	VIP	54	9	SP	H	28004.36	INVESTIDOR	0
2	0	0	BAIXO	SOLTEIRO	NÃO INFORMADO	1	VIP	50	4	PE	H	2377.16	INVESTIDOR	0
3	25782.3	0	BAIXO	NÃO INFORMADO	NÃO INFORMADO	1	ESPECIAL	55	4	SP	H	3831.47	INVESTIDOR	0
4	0	0	BAIXO	NÃO INFORMADO	NÃO INFORMADO	1	ESPECIAL	53	4	SP	H	1293.77	INVESTIDOR	0
5	0	1	MEDIO	NÃO INFORMADO	SUPERIOR	0	VIP	41	1	SP	H	6187	TOMADOR	0
6	5.6	0	BAIXO	VIUVO	SUPERIOR	1	ESPECIAL	58	10	SP	M	3395.22	TOMADOR	0
7	0	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	1	CLÁSSICO	46	3	SP	M	2075.8	NEUTRO	0
8	0	0	BAIXO	SOLTEIRO	SUPERIOR	1	ESPECIAL	41	3	SP	H	2300	INVESTIDOR	0
9	0	0	BAIXO	NÃO INFORMADO	NÃO INFORMADO	1	CLÁSSICO	65	4	SP	H	1338.54	INVESTIDOR	0
10	19	0	MEDIO	NÃO INFORMADO	ENSINO FUNDAMENTAL	0	CLÁSSICO	54	3	SP	H	548.66	NEUTRO	0
11	0	0	BAIXO	SOLTEIRO	SUPERIOR	1	VIP	42	7	SP	M	3000	INVESTIDOR	0
12	0	0	BAIXO	DIVORCIADO	ENSINO MEDIO	1	VIP	42	7	SP	H	4355.68	TOMADOR	0
13	0.3	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	VIP	56	5	SP	H	5448.58	INVESTIDOR	0
14	0	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	0	ESPECIAL	61	3	SP	H	2179.58	TOMADOR	0
15	1856.2	0	BAIXO	SOLTEIRO	SUPERIOR	1	VIP	44	10	SP	H	4000	TOMADOR	0
16	0	1	ALTO	NÃO INFORMADO	ENSINO MEDIO	0	ESPECIAL	55	2	SP	H	1722	TOMADOR	0
17	0	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	0	CLÁSSICO	42	3	SP	M	435.75		0
18	0	0	BAIXO	NÃO INFORMADO	NÃO INFORMADO	1	VIP	48	1	SP	H	1712.32	INVESTIDOR	0
19	0	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	VIP	54	3	SP	H	4733	INVESTIDOR	0
20	0	0	BAIXO	NÃO INFORMADO	NÃO INFORMADO	1	ESPECIAL	66	3	SP	H	968.18	INVESTIDOR	0
21	30188.6	0	BAIXO	NÃO INFORMADO	NÃO INFORMADO	1	ESPECIAL	69	5	SP	H	1818.15	INVESTIDOR	0
22	30131	0	BAIXO	NÃO INFORMADO	ENSINO FUNDAMENTAL	1	ESPECIAL	60	5	SP	H	3200	INVESTIDOR	0
23	0	1	ALTO	NÃO INFORMADO	ENSINO MEDIO	0	ESPECIAL	51	7	SP	H	1990	TOMADOR	0
24	0	0	BAIXO	DIVORCIADO	ENSINO MEDIO	1	ESPECIAL	50	4	SP	M	1047.53	TOMADOR	0
25	0	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	1	VIP	66	5	SP	H	3345.7	TOMADOR	0
26	0	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	0	ESPECIAL	57	3	SP	H	200	NEUTRO	0
27	284440.8	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	0	CLÁSSICO	88	2	SP	H	855.9	INVESTIDOR	0
28	12969.1	0	BAIXO	VIUVO	NÃO INFORMADO	0	ESPECIAL	85	3	SP	M	1747.17	INVESTIDOR	0
29	4845.1	0	BAIXO	NÃO INFORMADO	NÃO INFORMADO	1	ESPECIAL	44	4	  	M	3238.15	INVESTIDOR	0
30	0.3	1	MEDIO	NÃO INFORMADO	ENSINO MEDIO	0	CLÁSSICO	44	3	SP	M	1200	INVESTIDOR	0
31	8.8	0	BAIXO		NÃO INFORMADO	1	VIP	0	4	  	M	0	NEUTRO	0
32	0	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	0	ESPECIAL	60	5	SP	H	200	INVESTIDOR	0
33	0	0	BAIXO	NÃO INFORMADO	ENSINO FUNDAMENTAL	1	CLÁSSICO	65	2	SP	M	1200	INVESTIDOR	0
34	109.2	1	MEDIO	SOLTEIRO	SUPERIOR	0	ESPECIAL	44	4	SP	M	1939.78	INVESTIDOR	0
35	0	0	BAIXO	NÃO INFORMADO	ENSINO FUNDAMENTAL	1	ESPECIAL	66	5	SP	H	1278.07	TOMADOR	0
36	0	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	VIP	60	4	SP	H	11969	INVESTIDOR	0
37	0	0	BAIXO	VIUVO	ENSINO MEDIO	0	VIP	88	3	SP	M	4511.17	INVESTIDOR	0
38	6585.5	1	MEDIO	NÃO INFORMADO	ENSINO MEDIO	0	ESPECIAL	56	9	SP	M	3262.55	INVESTIDOR	0
39	0	0	BAIXO	NÃO INFORMADO	POS GRADUACAO	1	VIP	52	4	SP	H	12872.06	INVESTIDOR	0
40	233.4	0	BAIXO	SOLTEIRO	NÃO INFORMADO	0	VIP	49	4	SP	M	5474.15	TOMADOR	0
41	10667.9	0	BAIXO	DIVORCIADO	NÃO INFORMADO	1	ESPECIAL	49	6	SP	M	1930	INVESTIDOR	0
42	0	0	BAIXO	SOLTEIRO	POS GRADUACAO	1	ESPECIAL	45	5	SP	M	6027.68	INVESTIDOR	0
43	0	0	ALTO	NÃO INFORMADO	ENSINO FUNDAMENTAL	0	ESPECIAL	55	7	SP	H	2104.25	TOMADOR	0
44	861	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	1	ESPECIAL	38	8	SP	M	1922.71	TOMADOR	0
45	0	0	BAIXO	VIUVO	ENSINO MEDIO	1	ESPECIAL	59	3	SP	M	1823.95	INVESTIDOR	0
46	61	0	BAIXO	VIUVO	ENSINO FUNDAMENTAL	1	CLÁSSICO	66	5	SP	M	1057	INVESTIDOR	0
47	0	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	CLÁSSICO	47	2	SP	M	1166.67	TOMADOR	0
48	58537.3	0	BAIXO	VIUVO	ENSINO FUNDAMENTAL	0	CLÁSSICO	92	2	SP	H	1303.18	INVESTIDOR	0
49	0	0	BAIXO	DIVORCIADO	ENSINO MEDIO	1	VIP	49	6	SP	H	14622.82	INVESTIDOR	0
50	0	0	BAIXO	SOLTEIRO	SUPERIOR	1	VIP	50	8	SP	M	9642	TOMADOR	0
51	17174.7	0	BAIXO	VIUVO	NÃO INFORMADO	1	VIP	70	5	SP	M	4191.02	INVESTIDOR	0
52	34841.9	0	BAIXO	SOLTEIRO	ENSINO FUNDAMENTAL	0	ESPECIAL	49	2	SP	H	915	INVESTIDOR	0
53	0	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	ESPECIAL	48	8	SP	M	3010.21	TOMADOR	0
54	0	0	BAIXO	VIUVO	ENSINO FUNDAMENTAL	1	VIP	59	6	SP	M	0	INVESTIDOR	0
55	0	0	BAIXO	NÃO INFORMADO	NÃO INFORMADO	0	CLÁSSICO	83	1	SP	H	771.62	INVESTIDOR	0
56	36332.9	0	BAIXO	SOLTEIRO	ENSINO MEDIO	0	ESPECIAL	48	6	SP	M	0	INVESTIDOR	0
57	411.1	0	BAIXO	NÃO INFORMADO	NÃO INFORMADO	0	VIP	88	9	SP	M	5817.35	TOMADOR	0
58	0	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	1	ESPECIAL	50	7	SP	H	1875.03	INVESTIDOR	0
59	0	0		NÃO INFORMADO	SUPERIOR	0	ESPECIAL	39	5	SP	H	2908.51	TOMADOR	0
60	1.9	1	MEDIO	DIVORCIADO	ENSINO FUNDAMENTAL	0	ESPECIAL	54	6	SP	H	1236.35	TOMADOR	0
61	0	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	ESPECIAL	68	4	  	M	4000	INVESTIDOR	0
62	40705.7	0	BAIXO	NÃO INFORMADO	NÃO INFORMADO	0	VIP	76	4	  	H	3099	INVESTIDOR	0
63	11815.9	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	1	ESPECIAL	59	4	SP	H	3411.6	INVESTIDOR	0
64	91052.5	0	BAIXO	NÃO INFORMADO	DOUTORADO	1	VIP	68	6	SC	H	54098.3	INVESTIDOR	0
65	0.2	1	ALTO	VIUVO	ENSINO MEDIO	0	ESPECIAL	62	2	  	M	0	INVESTIDOR	0
66	0	0	BAIXO	VIUVO	ENSINO FUNDAMENTAL	0	CLÁSSICO	83	3	SC	M	543.33	INVESTIDOR	0
67	255.3	0	BAIXO	NÃO INFORMADO	ENSINO FUNDAMENTAL	1	CLÁSSICO	57	4	RS	M	1200	INVESTIDOR	0
68	12191	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	1	ESPECIAL	60	6	RS	M	2973.03	INVESTIDOR	0
69	0	1	ALTO	NÃO INFORMADO	ENSINO FUNDAMENTAL	0	ESPECIAL	43	4	SP	H	2109.22	TOMADOR	0
70	0	0	BAIXO	VIUVO	ENSINO FUNDAMENTAL	1	ESPECIAL	71	2	SP	H	1186.81	INVESTIDOR	0
71	0	0	BAIXO	NÃO INFORMADO	ENSINO FUNDAMENTAL	0	CLÁSSICO	60	3	SP	H	357.97	TOMADOR	0
72	0	1	BAIXO	NÃO INFORMADO	NÃO INFORMADO	0	CLÁSSICO	63	3	SP	M	200	TOMADOR	0
73	31.1	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	0	VIP	57	10	SP	M	0	TOMADOR	0
74	110511.9	0	BAIXO	SOLTEIRO	NÃO INFORMADO	1	VIP	47	5	SP	H	2935	INVESTIDOR	0
75	0	0	BAIXO	SOLTEIRO	ENSINO MEDIO	1	VIP	53	7	SP	M	4138.75	TOMADOR	0
76	93272.2	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	VIP	57	9	SP	M	2488.87	INVESTIDOR	0
77	0	0	BAIXO	VIUVO	ENSINO MEDIO	0	ESPECIAL	83	6	SP	M	1721.91	INVESTIDOR	0
78	502.9	0	BAIXO	NÃO INFORMADO	NÃO INFORMADO	0	CLÁSSICO	43	6	SP	H	743	TOMADOR	0
79	0	0	BAIXO	NÃO INFORMADO	NÃO INFORMADO	1	ESPECIAL	63	2	SP	H	2124.54	INVESTIDOR	0
80	6630.3	0	BAIXO	DIVORCIADO	SUPERIOR	0	VIP	51	8	SP	M	1411	INVESTIDOR	0
81	190390.4	0	BAIXO	NÃO INFORMADO	MESTRADO	1	VIP	73	9	SP	H	6000	INVESTIDOR	0
82	35.5	0	BAIXO	NÃO INFORMADO	ENSINO FUNDAMENTAL	1	CLÁSSICO	56	5	SP	M	898.73	INVESTIDOR	0
83	65010.6	0	BAIXO	SOLTEIRO	ENSINO MEDIO	1	VIP	63	5	SP	M	2208.69	INVESTIDOR	0
84	3531.8	0	BAIXO	VIUVO	SUPERIOR	1	ESPECIAL	62	7	SP	M	2996.58	INVESTIDOR	0
